Make,Model,Year,Transmission,FuelType,EngineCapacity,Mileage,Price
Audi,A1,2015,Automatic,Petrol,1000,42000,4250000
Audi,A1,2015,Automatic,Petrol,1000,30000,4415000
Audi,A1,2015,Automatic,Petrol,1000,40000,4435000
Audi,A1,2015,Automatic,Petrol,1000,39000,4475000
Audi,A1,2016,Automatic,Petrol,1000,25000,4500000
Audi,A1,2016,Automatic,Petrol,1000,46000,4550000
Audi,A1,2017,Automatic,Petrol,1000,20000,4600000
Audi,A1,2017,Automatic,Petrol,1000,12000,4685000
Audi,A1,2016,Automatic,Petrol,990,8000,4850000
Audi,A1,2016,Automatic,Petrol,990,29908,4850000
Audi,A1,2017,Automatic,Petrol,1000,14100,4875000
Audi,A1,2017,Automatic,Petrol,1000,15000,4890000
Audi,A1,2017,Automatic,Petrol,1000,20000,4890000
Audi,A1,2017,Automatic,Petrol,1000,7900,4975000
Audi,A1,2016,Automatic,Petrol,1000,28000,4975000
Audi,A1,2017,Automatic,Petrol,1000,20000,5000000
Audi,A1,2016,Automatic,Petrol,990,8000,5050000
Audi,A1,2016,Automatic,Petrol,1000,11500,5100000
Audi,A1,2017,Automatic,Petrol,1300,30000,5100000
Audi,A1,2017,Automatic,Petrol,1000,29000,"
6700000"
Audi,A1,2017,Automatic,Petrol,1000,45000,"
6950000"
Audi,A1,2017,Automatic,Petrol,999,41000,"
6600000"
Audi,A1,2018,Automatic,Petrol,1000,22000,"
7350000"
Audi,A3,2017,Automatic,Petrol,1000,14000,5690000
Audi,A3,2017,Automatic,Petrol,1200,25000,5885000
Audi,A3,2018,Automatic,Petrol,999,49000,5950000
Audi,A3,2017,Automatic,Petrol,1000,39000,6300000
Audi,A3,2017,Automatic,Petrol,1000,26000,6850000
Audi,A3,2018,Automatic,Petrol,1000,11000,7050000
Audi,A3,2018,Automatic,Petrol,1200,3000,7250000
Audi,A3,2018,Automatic,Petrol,1000,27800,7400000
Audi,A3,2018,Automatic,Petrol,1000,12500,7500000
Audi,A3,2018,Automatic,Petrol,1000,18189,7550000
Audi,A3,2018,Automatic,Petrol,1000,7600,7900000
Audi,A3,2018,Automatic,Petrol,1000,6000,8200000
Audi,A3,2018,Automatic,Petrol,1000,37000,8250000
Audi,A3,2018,Automatic,Petrol,999,26000,8295000
Audi,A3,2019,Automatic,Petrol,1000,15000,9150000
Audi,A3,2019,Automatic,Petrol,1000,13800,9200000
Audi,A3,2019,Automatic,Petrol,1000,10350,9500000
Audi,A3,2017,Automatic,Petrol,1500,6000,11500000
Audi,A3,2018,Automatic,Petrol,1000,12500,"
10500000"
Audi,A3,2016,Automatic,Petrol,1400,60000,"
10300000"
Audi,A3,2016,Automatic,Petrol,1000,66700,"
8525000"
Audi,A3,2017,Manual,Petrol,1000,30500,"
8525000"
Audi,A4,2004,Automatic,Petrol,1800,195000,2590000
Audi,A4,2003,Automatic,Petrol,1800,152000,2650000
Audi,A4,2004,Manual,Petrol,1600,124000,2675000
Audi,A4,2005,Manual,Petrol,1600,190000,2700000
Audi,A4,2005,Manual,Petrol,1590,190000,2700000
Audi,A4,2004,Automatic,Petrol,1800,134000,3150000
Audi,A4,2011,Automatic,Petrol,1800,107300,4650000
Audi,A4,2010,Automatic,Petrol,1800,67000,4950000
Audi,A4,2011,Automatic,Petrol,1800,79400,5250000
Audi,A4,2012,Automatic,Petrol,1800,66000,5290000
